Country,GDP,Minimum wage
Gâmbia,1763819048,"0,13"
Afeganistão,19101353833,"0,43"
África do Sul,351431649241,
Albânia,15278077447,"1,12"
Alemanha,3845630030824,"9,99"
Andorra,3154057987,"6,63"
Angola,94635415870,"0,71"
Antígua e Barbuda,1727759259,"3,04"
Arábia Saudita,792966838162,"3,85"
Argélia,169988236398,"0,95"
Argentina,449663446954,"3,35"
Armênia,13672802158,"0,66"
Bahamas,12827000000,"5,25"
Austrália,1392680589329,"13,59"
Áustria,446314739528,
Autoridade Nacional Palestina,,
Azerbaijão,39207000000,"0,47"
Barein,38574069149,
Bangladesh,302571254131,"0,51"
Barbados,5209000000,"3,13"
Bélgica,529606710418,"10,31"
Belice,1879613600,"1,65"
Benin,14390709095,"0,39"
Bielorrússia,63080457023,"1,49"
Bolívia,40895322865,"1,36"
Bósnia e Herzegovina,20047848435,"1,04"
Botsuana,18340510789,"0,29"
Brasil,1839758040766,"1,53"
Brunei,13469422941,
Bulgária,86000000000,"1,57"
Burkina Faso,15745810235,"0,34"
Burundi,3012334882,
Butão,2446674101,"0,32"
Cabo Verde,1981845741,"0,68"
Camarões,38760467033,"0,35"
Camboja,27089389787,
Canadá,1736425629520,"9,51"
Catar,183466208791,
Cazaquistão,180161741180,"0,41"
Chade,11314951343,"0,60"
Chile,282318159745,"2,00"
China,19910000000000,"0,87"
Chipre,24564647935,
Cidade do Vaticano,,
Cingapura,372062527489,
Colômbia,323802808108,"1,23"
Comores,1185728677,"0,71"
Coréia do Norte,32100000000,
Coreia do Sul,2029000000000,"6,49"
Costa do Marfim,58792205642,"0,36"
Costa Rica,61773944174,"1,84"
Croácia,60415553039,"2,92"
Cuba,100023000000,"0,05"
Dinamarca,348078018464,
Djibuti,3318716359,
Domínica,596033333,"1,48"
Egito,303175127598,
El Salvador,27022640000,"0,50"
Emirados Árabes Unidos,421142267938,
Equador,107435665000,"2,46"
Eritreia,2065001626,
Eslováquia,105422304976,"3,11"
Eslovênia,53742159517,"5,25"
Espanha,1394116310769,"5,60"
Essuatíni,3791304348,
Estados Federados da Micronésia,401932279,
Estados Unidos,21427700000000,"7,25"
Estônia,31386949981,"3,14"
Etiópia,96107662398,
Fiji,5535548972,"1,28"
Filipinas,376795508680,"1,12"
Finlândia,268761201365,
França,2715518274227,"11,16"
Gabão,16657960228,"1,46"
Gana,66983634224,"0,27"
Geórgia,17743195770,"0,05"
Granada,1228170370,
Grécia,209852761469,"4,46"
Guatemala,76710385880,"1,60"
Guiana,4280443645,"0,98"
Guiné,13590281809,
Guiné Equatorial,11026774945,"1,05"
Guiné-Bissau,1340389411,"0,16"
Haiti,8498981821,"0,25"
Holanda,909070395161,"10,29"
Honduras,25095395475,"1,01"
Hungria,160967157504,"2,62"
Iémen,26914402224,
Ilhas Marshall,221278000,"2,00"
Ilhas Salomão,1425074226,"0,40"
Índia,2611000000000,"0,30"
Indonésia,1119190780753,"0,48"
Ir,5459979417,"0,34"
Irã,445345282123,"1,58"
Iraque,234094042939,"1,24"
Islândia,24188035739,
Israel,395098666122,"7,58"
Itália,2001244392042,
Jamaica,16458071068,"1,33"
Japão,5081769542380,"6,77"
Jordânia,43743661972,"1,49"
Kuwait,134761198946,"0,95"
Laos,18173839128,"0,83"
Lesoto,2460072444,"0,41"
Letônia,34117202555,"2,80"
Líbano,53367042272,"2,15"
Libéria,3070518100,"0,17"
Líbia,52076250948,"1,88"
Liechtenstein,6552858739,
Lituânia,54219315600,"2,41"
Luxemburgo,71104919108,"13,05"
Macedônia do Norte,10220781069,
Madagáscar,14083906357,"0,21"
Malásia,364701517788,"0,93"
Maláui,7666704427,"0,12"
Maldivas,5729248472,
Mali,17510141171,"0,23"
Malta,14786156563,"5,07"
Marrocos,118725279596,"1,60"
Maurício,14180444557,"0,38"
Mauritânia,7593752450,"0,53"
México,1258286717125,"0,49"
Mianmar,76085852617,"0,39"
Moçambique,14934159926,"0,27"
Moldávia,11955435457,"0,31"
Mônaco,7184844193,"11,72"
Mongólia,13852850259,"0,65"
Montenegro,5494736901,"1,23"
Namíbia,12366527719,
Nauru,133000000,
Nepal,30641380604,"0,36"
Nicarágua,12520915291,"0,54"
Níger,12928145120,"0,29"
Nigéria,448120428859,"0,54"
Noruega,403336363636,
Nova Zelândia,206928765544,"11,49"
Omã,76983094928,"4,33"
Palau,283994900,"3,00"
Panamá,66800800000,"1,53"
Papua Nova Guiné,24969611435,"1,16"
Paquistão,304400000000,"0,69"
Paraguai,38145288940,"1,55"
Peru,226848050820,"1,28"
Peru,754411708203,"3,45"
Polônia,592164400688,"2,93"
Portugal,237686075635,"3,78"
Quênia,95503088538,"0,25"
Quirguistão,8454619608,"0,09"
Quiribáti,194647202,
Reino Unido,2827113184696,"10,13"
República Centro-Africana,2220307369,"0,37"
República Checa,246489245495,"3,00"
Irlanda,388698711348,"10,79"
Congo,47319624204,"0,18"
República Dominicana,88941298258,"0,40"
Romênia,250077444017,"2,25"
Ruanda,10122472590,
Rússia,1699876578871,"0,53"
Samoa,850655017,"0,78"
Santa Lúcia,2122450630,
São Cristóvão e Nevis,1050992593,"3,33"
São Marino,1637931034,
São Vicente e Granadinas,825385185,"1,16"
Seicheles,1698843063,"2,00"
Senegal,23578084052,"0,31"
Serra Leoa,3941474311,"0,57"
Sérvia,51409167351,"1,57"
Síria,40405006007,"1,02"
Somália,4720727278,
Sri Lanka,84008783756,"0,35"
Sudão,18902284476,"0,41"
Sudão do Sul,11997800751,
Suécia,530832908738,
Suíça,703082435360,
Suriname,3985250737,
Tadjiquistão,8116626794,"0,23"
Tailândia,543649976166,"1,06"
Tanzânia,63177068175,"0,09"
Timor Leste,1673540300,"0,60"
Tonga,450353314,
Trinidad e Tobago,24100202834,"2,25"
Tunísia,38797709924,"0,47"
Turcomenistão,40761142857,"0,88"
Tuvalu,47271463,
Ucrânia,153781069118,"0,84"
Uganda,34387229486,"0,01"
Uruguai,56045912952,"1,66"
Uzbequistão,57921286440,"0,24"
Vanuatu,917058851,"1,56"
Venezuela,482359318768,"0,01"
Vietnã,261921244843,"0,73"